Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill,totalAppliances,CostPerAppliance
22,22.0,3.0,5.0,1.0,0,9,12,9,560,9.1,5096.0,53.0,96.15094339622641
15,23.0,1.0,13.0,1.0,0,11,3,10,389,8.1,3150.8999999999996,53.0,59.45094339622641
6,21.0,3.0,19.0,1.0,0,2,8,2,576,8.9,5126.400000000001,50.0,102.528
6,19.0,1.0,4.0,1.0,0,8,2,2,340,7.6,2584.0,31.0,83.35483870967742
7,18.0,3.0,4.0,1.0,0,8,5,22,417,8.4,3502.8,33.0,106.14545454545456
7,23.0,2.0,13.0,1.0,0,4,9,7,503,9.3,4677.900000000001,46.0,101.69347826086958
22,23.0,1.0,6.0,1.0,0,12,10,27,561,8.5,4768.5,53.0,89.97169811320755
18,23.0,2.0,13.0,1.0,0,8,9,20,588,9.3,5468.400000000001,57.0,95.93684210526317
7,21.0,3.0,11.0,1.0,0,10,3,1,584,8.1,4730.4,43.0,110.00930232558139
21,22.0,2.0,21.0,1.0,0,10,1,29,771,8.8,6784.8,67.0,101.26567164179104
22,22.0,3.0,4.0,1.0,0,9,11,13,643,8.2,5272.599999999999,52.0,101.39615384615384
18,22.0,0.0,16.0,1.0,0,3,15,27,552,7.8,4305.599999999999,57.0,75.53684210526315
13,23.0,1.0,8.0,12.0,0,5,1,26,683,8.8,6010.400000000001,57.0,105.44561403508773
5,21.0,3.0,6.0,1.0,0,5,15,17,436,7.8,3400.7999999999997,36.0,94.46666666666665
8,23.0,2.0,17.0,1.0,0,7,7,10,681,9.2,6265.2,51.0,122.84705882352941
14,22.0,2.0,21.0,12.0,0,2,6,31,668,8.7,5811.599999999999,71.0,81.85352112676055
15,22.0,1.0,14.0,1.0,0,10,1,30,381,8.8,3352.8,53.0,63.26037735849057
12,22.0,3.0,14.0,1.0,0,10,9,7,643,9.3,5979.900000000001,52.0,114.99807692307694
15,23.0,1.0,22.0,1.0,0,1,15,30,495,7.8,3861.0,62.0,62.274193548387096
6,22.0,3.0,9.0,1.0,0,10,11,10,544,8.2,4460.799999999999,41.0,108.79999999999998
23,22.0,3.0,20.0,1.0,0,5,14,31,675,7.7,5197.5,69.0,75.32608695652173
20,23.0,1.0,18.0,1.0,0,6,5,22,665,8.4,5586.0,63.0,88.66666666666667
10,17.0,1.0,10.0,1.0,0,2,9,7,243,9.3,2259.9,39.0,57.94615384615385
23,22.0,2.0,12.0,12.0,0,9,15,12,735,7.8,5733.0,71.0,80.74647887323944
18,22.0,2.0,8.0,1.0,0,5,12,23,587,9.1,5341.7,51.0,104.7392156862745
14,22.0,0.0,3.0,1.0,0,9,0,23,287,7.9,2267.3,40.0,56.682500000000005
23,22.0,2.0,18.0,1.0,0,7,13,27,756,7.4,5594.400000000001,66.0,84.76363636363637
12,23.0,0.0,14.0,1.0,0,8,3,29,460,8.1,3726.0,50.0,74.52
17,22.0,3.0,7.0,1.0,0,8,7,25,480,9.2,4416.0,50.0,88.32
6,22.0,1.0,11.0,1.0,0,7,11,20,345,8.2,2828.9999999999995,41.0,68.99999999999999
7,23.0,3.0,3.0,1.0,0,12,12,28,545,9.1,4959.5,37.0,134.04054054054055
6,22.0,1.0,20.0,1.0,0,4,1,15,407,8.8,3581.6000000000004,50.0,71.632
15,23.0,2.0,7.0,1.0,0,1,8,15,389,8.9,3462.1000000000004,48.0,72.12708333333335
17,22.0,1.0,13.0,1.0,0,1,11,23,519,8.2,4255.799999999999,54.0,78.8111111111111
20,22.0,3.0,20.0,12.0,0,9,3,25,662,8.1,5362.2,77.0,69.63896103896104
12,23.0,0.0,4.0,1.0,0,4,4,4,302,8.3,2506.6000000000004,40.0,62.665000000000006
12,23.0,0.0,16.0,1.0,0,2,10,10,582,8.5,4947.0,52.0,95.13461538461539
23,22.0,0.0,8.0,1.0,0,1,1,11,346,8.8,3044.8,54.0,56.385185185185186
12,22.0,1.0,22.0,1.0,0,3,8,26,506,8.9,4503.400000000001,58.0,77.6448275862069
6,22.0,1.0,4.0,1.0,0,1,3,21,487,8.1,3944.7,34.0,116.02058823529411
7,18.0,0.0,21.0,7.0,0,12,10,25,476,8.5,4046.0,53.0,76.33962264150944
16,22.0,0.0,8.0,1.0,0,12,12,16,373,9.1,3394.2999999999997,47.0,72.21914893617021
18,22.0,1.0,16.0,1.0,0,10,11,1,599,8.2,4911.799999999999,58.0,84.68620689655171
8,20.0,0.0,7.0,7.0,0,3,9,11,422,9.3,3924.6,42.0,93.44285714285714
7,20.0,2.0,11.0,1.0,0,4,2,7,351,7.6,2667.6,41.0,65.06341463414634
17,23.0,1.0,12.0,1.0,0,11,10,28,512,8.5,4352.0,54.0,80.5925925925926
15,23.0,3.0,4.0,1.0,0,4,2,10,569,7.6,4324.4,46.0,94.0086956521739
17,23.0,3.0,19.0,1.0,0,7,11,27,776,8.2,6363.2,63.0,101.0031746031746
17,22.0,0.0,13.0,1.0,0,10,3,23,467,8.1,3782.7,53.0,71.37169811320754
15,22.0,2.0,6.0,12.0,0,3,5,24,696,8.4,5846.400000000001,57.0,102.56842105263159
20,22.0,1.0,6.0,1.0,0,12,4,25,357,8.3,2963.1000000000004,50.0,59.26200000000001
18,22.0,0.0,7.0,1.0,0,12,8,13,325,8.9,2892.5,48.0,60.260416666666664
20,22.0,1.0,8.0,12.0,0,3,8,20,717,8.9,6381.3,63.0,101.2904761904762
23,22.0,2.0,11.0,1.0,0,4,12,12,419,9.1,3812.9,59.0,64.62542372881356
5,23.0,0.0,4.0,1.0,0,7,15,3,478,7.8,3728.4,33.0,112.98181818181818
12,23.0,3.0,16.0,1.0,0,7,2,20,548,7.6,4164.8,55.0,75.72363636363637
8,23.0,3.0,3.0,1.0,0,4,6,15,508,8.7,4419.599999999999,38.0,116.30526315789473
10,20.0,0.0,7.0,1.0,0,12,15,13,299,7.8,2332.2,38.0,61.373684210526314
17,22.0,3.0,18.0,1.0,0,7,11,10,537,8.2,4403.4,61.0,72.18688524590164
11,22.0,2.0,10.0,1.0,0,12,7,21,473,9.2,4351.599999999999,46.0,94.6
19,23.0,2.0,5.0,1.0,0,10,0,30,449,7.9,3547.1000000000004,50.0,70.94200000000001
13,23.0,3.0,21.0,1.0,0,1,14,29,618,7.7,4758.6,61.0,78.00983606557378
22,23.0,0.0,22.0,1.0,0,9,11,10,540,8.2,4428.0,68.0,65.11764705882354
12,23.0,1.0,20.0,1.0,0,4,3,11,530,8.1,4293.0,57.0,75.3157894736842
19,23.0,2.0,6.0,1.0,0,3,1,19,578,8.8,5086.400000000001,51.0,99.73333333333335
15,22.0,3.0,17.0,1.0,0,2,0,6,418,7.9,3302.2000000000003,58.0,56.934482758620696
10,22.0,0.0,12.0,7.0,0,2,13,18,406,7.4,3004.4,51.0,58.90980392156863
19,22.0,3.0,10.0,1.0,0,1,9,28,521,9.3,4845.3,55.0,88.09636363636363
5,18.0,3.0,9.0,1.0,0,2,0,27,458,7.9,3618.2,36.0,100.50555555555555
16,22.0,3.0,8.0,12.0,0,2,1,29,666,8.8,5860.8,61.0,96.07868852459016
7,17.0,3.0,14.0,1.0,0,8,7,28,325,9.2,2989.9999999999995,42.0,71.19047619047618
22,23.0,0.0,20.0,12.0,0,10,9,22,684,9.3,6361.200000000001,77.0,82.61298701298702
19,23.0,0.0,14.0,1.0,0,2,12,11,491,9.1,4468.099999999999,57.0,78.3877192982456
7,20.0,2.0,13.0,1.0,0,12,3,25,528,8.1,4276.8,43.0,99.46046511627907
14,22.0,3.0,20.0,1.0,0,5,2,26,742,7.6,5639.2,60.0,93.98666666666666
16,23.0,1.0,22.0,12.0,0,3,9,24,768,9.3,7142.400000000001,74.0,96.51891891891893
10,19.0,0.0,10.0,1.0,0,12,6,3,503,8.7,4376.099999999999,40.0,109.40249999999999
7,17.0,1.0,18.0,7.0,0,11,9,24,536,9.3,4984.8,50.0,99.696
9,19.0,1.0,12.0,1.0,0,1,13,28,472,7.4,3492.8,42.0,83.16190476190476
15,22.0,1.0,19.0,1.0,0,1,2,2,634,7.6,4818.4,58.0,83.0758620689655
15,23.0,2.0,8.0,1.0,0,10,5,4,384,8.4,3225.6000000000004,49.0,65.82857142857144
12,22.0,2.0,11.0,1.0,0,3,10,2,438,8.5,3723.0,48.0,77.5625
14,22.0,1.0,10.0,12.0,0,7,3,13,701,8.1,5678.099999999999,59.0,96.23898305084745
15,22.0,2.0,16.0,1.0,0,6,4,5,462,8.3,3834.6,56.0,68.475
9,23.0,2.0,7.0,1.0,0,3,0,1,601,7.9,4747.900000000001,42.0,113.0452380952381
19,22.0,0.0,10.0,1.0,0,9,13,14,408,7.4,3019.2000000000003,52.0,58.06153846153847
12,22.0,2.0,6.0,1.0,0,6,5,7,463,8.4,3889.2,43.0,90.44651162790697
6,23.0,2.0,19.0,7.0,0,7,5,24,602,8.4,5056.8,57.0,88.71578947368421
23,22.0,0.0,12.0,1.0,0,6,14,31,635,7.7,4889.5,58.0,84.30172413793103
23,23.0,0.0,22.0,1.0,0,8,14,29,563,7.7,4335.1,69.0,62.82753623188406
18,23.0,3.0,12.0,1.0,0,8,8,28,726,8.9,6461.400000000001,57.0,113.35789473684211
7,20.0,1.0,16.0,1.0,0,12,1,30,412,8.8,3625.6,45.0,80.56888888888889
7,21.0,3.0,22.0,1.0,0,12,0,16,675,7.9,5332.5,54.0,98.75
11,22.0,2.0,13.0,1.0,0,9,7,21,385,9.2,3541.9999999999995,49.0,72.28571428571428
13,22.0,0.0,21.0,12.0,0,10,2,22,744,7.6,5654.4,68.0,83.15294117647058
13,22.0,1.0,18.0,1.0,0,4,15,21,410,7.8,3198.0,55.0,58.14545454545455
13,23.0,2.0,14.0,12.0,0,1,2,9,591,7.6,4491.599999999999,64.0,70.18124999999999
7,23.0,1.0,14.0,1.0,0,4,1,22,521,8.8,4584.8,46.0,99.66956521739131
18,23.0,2.0,10.0,1.0,0,5,1,12,596,8.8,5244.8,54.0,97.12592592592593
22,23.0,2.0,4.0,1.0,0,4,4,19,415,8.3,3444.5000000000005,52.0,66.24038461538463
16,23.0,0.0,8.0,1.0,0,12,15,14,503,7.8,3923.4,48.0,81.7375
7,17.0,3.0,17.0,1.0,0,10,0,11,526,7.9,4155.400000000001,45.0,92.34222222222223
13,22.0,0.0,12.0,1.0,0,6,8,15,377,8.9,3355.3,48.0,69.90208333333334
14,22.0,2.0,6.0,1.0,0,3,1,11,376,8.8,3308.8,45.0,73.52888888888889
17,23.0,3.0,21.0,1.0,0,6,8,15,724,8.9,6443.6,65.0,99.13230769230769
11,22.0,2.0,12.0,12.0,0,7,3,22,707,8.1,5726.7,59.0,97.06271186440678
11,23.0,0.0,4.0,1.0,0,11,6,8,365,8.7,3175.4999999999995,39.0,81.4230769230769
5,19.0,2.0,8.0,1.0,0,2,4,1,308,8.3,2556.4,35.0,73.04
16,23.0,3.0,5.0,1.0,0,8,6,18,543,8.7,4724.099999999999,48.0,98.41874999999999
6,22.0,1.0,9.0,1.0,0,3,4,26,355,8.3,2946.5000000000005,39.0,75.55128205128206
6,21.0,2.0,4.0,7.0,0,9,15,29,502,7.8,3915.6,40.0,97.89
5,19.0,2.0,16.0,1.0,0,8,4,4,455,8.3,3776.500000000001,43.0,87.82558139534886
9,19.0,0.0,13.0,7.0,0,12,0,4,543,7.9,4289.7,48.0,89.36874999999999
12,23.0,1.0,7.0,1.0,0,11,3,11,461,8.1,3734.1,44.0,84.86590909090908
8,17.0,1.0,8.0,1.0,0,7,1,19,412,8.8,3625.6,35.0,103.58857142857143
15,22.0,3.0,16.0,12.0,0,9,5,16,633,8.4,5317.2,68.0,78.19411764705882
6,19.0,2.0,15.0,1.0,0,12,12,7,480,9.1,4368.0,43.0,101.5813953488372
9,17.0,0.0,11.0,7.0,0,5,6,2,348,8.7,3027.6,44.0,68.80909090909091
20,22.0,2.0,6.0,1.0,0,10,15,20,623,7.8,4859.4,51.0,95.28235294117647
12,22.0,3.0,9.0,1.0,0,3,4,30,465,8.3,3859.500000000001,47.0,82.11702127659576
5,18.0,0.0,14.0,1.0,0,6,4,23,371,8.3,3079.3,38.0,81.03421052631579
21,22.0,1.0,12.0,1.0,0,11,0,9,561,7.9,4431.900000000001,57.0,77.75263157894737
20,22.0,2.0,9.0,1.0,0,8,1,26,673,8.8,5922.400000000001,54.0,109.67407407407408
7,18.0,1.0,15.0,1.0,0,8,13,23,535,7.4,3959.0,42.0,94.26190476190476
12,22.0,3.0,6.0,12.0,0,4,12,23,513,9.1,4668.3,55.0,84.87818181818182
8,17.0,1.0,4.0,7.0,0,10,0,5,460,7.9,3634.0,37.0,98.21621621621621
20,23.0,2.0,12.0,1.0,0,8,11,17,483,8.2,3960.599999999999,58.0,68.2862068965517
7,17.0,2.0,10.0,1.0,0,7,5,26,370,8.4,3108.0,37.0,84.0
11,23.0,3.0,18.0,1.0,0,10,5,26,678,8.4,5695.2,56.0,101.7
7,23.0,0.0,19.0,1.0,0,8,14,18,459,7.7,3534.3,50.0,70.686
22,23.0,3.0,19.0,12.0,0,1,2,27,717,7.6,5449.2,79.0,68.97721518987342
21,22.0,2.0,15.0,1.0,0,7,1,29,617,8.8,5429.6,61.0,89.00983606557378
5,22.0,3.0,9.0,1.0,0,5,9,27,488,9.3,4538.400000000001,40.0,113.46000000000001
22,22.0,2.0,20.0,1.0,0,12,0,29,614,7.9,4850.6,67.0,72.39701492537314
21,23.0,3.0,13.0,1.0,0,11,13,19,556,7.4,4114.400000000001,61.0,67.44918032786886
6,18.0,0.0,9.0,1.0,0,8,6,31,301,8.7,2618.7,34.0,77.02058823529411
9,20.0,2.0,19.0,1.0,0,4,12,31,569,9.1,5177.9,51.0,101.52745098039215
9,21.0,3.0,22.0,1.0,0,8,1,25,527,8.8,4637.6,56.0,82.81428571428572
16,22.0,1.0,3.0,1.0,0,11,15,31,322,7.8,2511.6,43.0,58.40930232558139
16,23.0,1.0,21.0,1.0,0,6,2,30,712,7.6,5411.2,62.0,87.27741935483871
6,18.0,0.0,17.0,1.0,0,10,11,20,442,8.2,3624.4,42.0,86.29523809523809
19,23.0,1.0,17.0,12.0,0,2,11,18,509,8.2,4173.799999999999,72.0,57.969444444444434
11,23.0,3.0,20.0,1.0,0,1,8,31,648,8.9,5767.2,58.0,99.43448275862069
11,22.0,2.0,14.0,1.0,0,3,1,9,394,8.8,3467.2000000000003,50.0,69.34400000000001
15,22.0,2.0,14.0,1.0,0,6,7,1,487,9.2,4480.4,54.0,82.97037037037036
21,23.0,2.0,5.0,1.0,0,2,5,6,417,8.4,3502.8,52.0,67.36153846153846
10,23.0,2.0,19.0,1.0,0,12,4,11,504,8.3,4183.200000000001,55.0,76.05818181818184
11,22.0,3.0,4.0,1.0,0,9,6,8,503,8.7,4376.099999999999,41.0,106.7341463414634
22,22.0,3.0,4.0,1.0,0,10,15,10,503,7.8,3923.4,52.0,75.45
15,22.0,2.0,10.0,12.0,0,4,10,30,514,8.5,4369.0,61.0,71.62295081967213
23,23.0,2.0,20.0,1.0,0,5,2,23,741,7.6,5631.599999999999,69.0,81.61739130434782
21,23.0,1.0,8.0,1.0,0,1,15,19,407,7.8,3174.6,54.0,58.788888888888884
13,23.0,3.0,17.0,1.0,0,11,12,25,522,9.1,4750.2,57.0,83.33684210526316
18,22.0,2.0,14.0,1.0,0,10,2,11,506,7.6,3845.6,57.0,67.46666666666667
13,22.0,1.0,3.0,1.0,0,8,1,9,420,8.8,3696.000000000001,40.0,92.40000000000002
22,23.0,0.0,15.0,12.0,0,11,13,14,735,7.4,5439.0,72.0,75.54166666666667
13,23.0,2.0,21.0,12.0,0,11,12,21,577,9.1,5250.7,71.0,73.95352112676056
15,22.0,1.0,14.0,1.0,0,10,12,21,397,9.1,3612.7,53.0,68.16415094339622
21,23.0,3.0,12.0,1.0,0,7,7,9,640,9.2,5888.0,60.0,98.13333333333334
13,23.0,2.0,9.0,1.0,0,4,8,12,395,8.9,3515.5,48.0,73.23958333333333
20,22.0,3.0,7.0,12.0,0,5,2,22,626,7.6,4757.599999999999,64.0,74.33749999999999
14,23.0,1.0,13.0,12.0,0,7,13,26,749,7.4,5542.6,63.0,87.97777777777779
8,20.0,3.0,13.0,7.0,0,8,5,10,594,8.4,4989.6,51.0,97.83529411764707
7,17.0,2.0,16.0,7.0,0,8,8,16,570,8.9,5073.0,49.0,103.53061224489795
23,22.0,1.0,16.0,12.0,0,9,7,18,719,9.2,6614.799999999999,74.0,89.38918918918918
12,23.0,1.0,5.0,1.0,0,11,7,19,468,9.2,4305.599999999999,42.0,102.5142857142857
18,23.0,1.0,11.0,1.0,0,6,11,17,589,8.2,4829.799999999999,54.0,89.44074074074072
23,23.0,3.0,13.0,1.0,0,3,2,15,689,7.6,5236.4,63.0,83.11746031746031
12,23.0,3.0,17.0,12.0,0,12,12,14,802,9.1,7298.2,67.0,108.92835820895522
11,22.0,2.0,20.0,1.0,0,2,12,21,650,9.1,5915.0,56.0,105.625
17,22.0,0.0,10.0,1.0,0,4,5,11,308,8.4,2587.2000000000003,50.0,51.74400000000001
21,23.0,3.0,19.0,1.0,0,11,4,0,743,8.3,6166.900000000001,67.0,92.04328358208956
15,23.0,0.0,17.0,1.0,0,10,1,13,528,8.8,4646.400000000001,56.0,82.97142857142858
8,22.0,3.0,11.0,1.0,0,10,15,22,600,7.8,4680.0,45.0,104.0
14,22.0,0.0,6.0,1.0,0,9,1,30,512,8.8,4505.6,43.0,104.78139534883722
18,22.0,2.0,7.0,1.0,0,4,10,11,491,8.5,4173.5,50.0,83.47
22,22.0,1.0,11.0,1.0,0,8,1,24,486,8.8,4276.8,57.0,75.03157894736843
8,23.0,0.0,5.0,1.0,0,12,4,27,267,8.3,2216.1000000000004,37.0,59.89459459459461
7,20.0,1.0,11.0,1.0,0,5,6,21,299,8.7,2601.2999999999997,40.0,65.0325
23,22.0,1.0,10.0,1.0,0,3,6,5,449,8.7,3906.3,57.0,68.53157894736843
11,23.0,0.0,9.0,12.0,0,11,6,13,602,8.7,5237.4,55.0,95.22545454545454
12,23.0,2.0,20.0,12.0,0,1,9,19,713,9.3,6630.900000000001,69.0,96.10000000000001
17,23.0,1.0,20.0,1.0,0,11,6,13,626,8.7,5446.2,62.0,87.84193548387097
